"geo","geo.name","geo.cat","geo.world_4region","geo.latitude","geo.longitude","shape_lores_svg"
"africa","Africa","world_4region",,-14.33333,28.5,
"americas","The Americas","world_4region",,8.9936,-79.51973,
"asia","Asia","world_4region",,16.16667,107.83333,
"europe","Europe","world_4region",,50.75,4.5,
"ago","Angola","country","africa",-12.5,18.5,
"bdi","Burundi","country","africa",-3.5,30,
"ben","Benin","country","africa",9.5,2.25,
"bfa","Burkina Faso","country","africa",12.5,-1.66667,
"bouisl","Bouvet Island","country","africa",,,
"bwa","Botswana","country","africa",-22,24,
"caf","Central African Republic","country","africa",7,21,
"civ","Cote d'Ivoire","country","africa",8,-5.5,
"cmr","Cameroon","country","africa",6,12.5,
"cod","Congo, Dem. Rep.","country","africa",-2.5,23.5,
"cog","Congo, Rep.","country","africa",-1,15.5,
"com","Comoros","country","africa",-12.23333,44.44553,
"cpv","Cape Verde","country","africa",16,-24,
"dji","Djibouti","country","africa",11.58901,43.14503,
"dza","Algeria","country","africa",28,3,
"egy","Egypt","country","africa",27,30,
"eri","Eritrea","country","africa",15,39,
"eri_a_eth","Eritrea and Ethiopia","country","africa",,,
"esh","Western Sahara","country","africa",24.49215,-12.65625,
"eth","Ethiopia","country","africa",9,39.5,
"gab","Gabon","country","africa",-1,11.75,
"gha","Ghana","country","africa",8.1,-1.2,
"gin","Guinea","country","africa",10.83333,-10.66667,
"gmb","Gambia","country","africa",13.5,-15.5,
"gnb","Guinea-Bissau","country","africa",12,-15,
"gnq","Equatorial Guinea","country","africa",1.7,10.5,
"ken","Kenya","country","africa",1,38,
"lbr","Liberia","country","africa",6.5,-9.5,
"lby","Libya","country","africa",28,17,
"lso","Lesotho","country","africa",-29.5,28.25,
"mar","Morocco","country","africa",32,-6,
"mdg","Madagascar","country","africa",-20,47,
"mli","Mali","country","africa",18,-2,
"moz","Mozambique","country","africa",-18.25,35,
"mrt","Mauritania","country","africa",20.25,-10.5,
"mus","Mauritius","country","africa",-20.3,57.583330000000004,
"mwi","Malawi","country","africa",-13.5,34,
"myt","Mayotte","country","africa",-12.83333,45.16667,
"nam","Namibia","country","africa",-22,17,
"ner","Niger","country","africa",18,9,
"nga","Nigeria","country","africa",10,8,
"reu","Reunion","country","africa",-20.88231,55.4504,
"rwa","Rwanda","country","africa",-2,30,
"sdn","Sudan","country","africa",16,30,
"sen","Senegal","country","africa",14.5,-14.25,
"shn","St. Helena","country","africa",-15.95,-5.7,
"sle","Sierra Leone","country","africa",8.5,-11.5,
"som","Somalia","country","africa",6,48,
"som_somland","Somaliland","country","africa",,,
"ssd","South Sudan","country","africa",7.5,30,
"stp","Sao Tome and Principe","country","africa",1,7,
"swz","Swaziland","country","africa",-26.5,31.5,
"syc","Seychelles","country","africa",-4.58333,55.666669999999996,
"tcd","Chad","country","africa",15,19,
"tgo","Togo","country","africa",8.66667,1.08333,
"tun","Tunisia","country","africa",34,9,
"tza","Tanzania","country","africa",-6,35,
"uga","Uganda","country","africa",1.25,32.5,
"zaf","South Africa","country","africa",-29,24,
"zmb","Zambia","country","africa",-14.333329999999998,28.5,
"zwe","Zimbabwe","country","africa",-19,29.75,
